,airline_sentiment,negativereason,airline,text_clean
2574,1,Customer Service Issue,United,danahajek means say many complaints today week month not respond b c alone
2575,1,Cancelled Flight,United,flying home 9 30am event tomorrow pushed back flight 400 ticket not get home time
2576,0,,United,held plane made
2577,1,Late Flight,United,delayed departure 2 hrs wait passengers another flight late flight unacceptable
2578,0,,United,ok sent u info via dm appreciate help consideration
2579,1,Customer Service Issue,United,flight 1136 chicago houston 2 hours no pretzels peanuts seriously passed
2580,0,,United,nice early back home http co geg4nghmie
2581,0,,United,hope
2582,1,Lost Luggage,United,tag bags airport hoping would actually arrive hoping arrive
2583,0,,United,make sure done thanks help huge race trying make sure goes smoothly peace
2584,1,Flight Booking Problems,United,planned book additional flights tonight 1 1 2 hrs working one trip worn enoughisenough
2585,1,Customer Service Issue,United,much help disappointed customer service
2586,0,,United,would love see girls inspired becoming pilots rt free woaw event march 2 8 abq http co rfxlv1kgdh
2587,1,Customer Service Issue,United,system hold 20 mins mia tells going charge flight booking problems fee customer service
2588,0,,United,took screenshot emailed let dm figure
2589,1,Flight Booking Problems,United,not wedding irreplaceable milestone no reflight booking problems repaid
2590,1,Lost Luggage,United,brothers luggage lost copa airlines flight 635 competing sunday 2015 panamerican cross country cup please help
2591,0,,United,united fill yes thanks bringyourown kleankanteen http co daaa0rqbxw
2592,1,Customer Service Issue,United,last flight day no less driving 4 hours aspen thru snowstorm thx teams lack customer empathy
2593,1,Lost Luggage,United,united brothers baggage lost route 2015 panamerican cross country cup championship columbia race sunday please help
2594,1,Flight Booking Problems,United,yes plenty seats available vicky thomas refuse give one million mile flyer
2595,1,Late Flight,United,funny flights yesterday delayed mechanical issues rotten luck get 2 planes row issues
2596,1,Customer Service Issue,United,would nice earlier today late flight hope
2597,1,Late Flight,United,waiting 12 mins counting get global services something going
2598,1,Late Flight,United,no still trying get home
2599,1,Flight Booking Problems,United,also gate monitor showed 23 empty seats
2600,1,Customer Service Issue,United,not reservations desk told said plenty seats
2601,1,Flight Booking Problems,United,exasperating difficult time flight booking problems error message says undergoing maintenance really
2602,0,,United,flight attendant extremely helpful woman hard time walking touching
2603,0,,United,scvpools please call 310 795 2210
2604,1,Lost Luggage,United,lax29108m make happen please else cruise no luggage tomorrow
2605,1,Flight Attendant Complaints,United,no not make connection stellar employee vicky thomas refused board even though 23 empty seats plane
2606,1,Lost Luggage,United,course start trip 3 wks ago gone downhill return
2607,1,Late Flight,United,no u not
2608,1,Lost Luggage,United,much longer take guitar not royal commission
2609,0,,United,voucher expires next week get extension expires
2610,1,longlines,United,sure 8 different texts changing time amp gate especially locations across entire concourse seemed little
2611,0,,United,know would awesome providing us complimentary entertainment flights especially longer 6 hours
2612,0,,United,dm sent thanks
2613,1,Flight Attendant Complaints,United,late flight future flights train staff better handle emergency situations ground staff customer service
2614,0,,United,san diego chicago leaving 6 15 tomorrow
2615,1,Late Flight,United,stuck airport 12 hours standbys cuz pilot showed late flight pjs amp missed connectin flight pj tell u nyfw
2616,0,,United,brian sfo customer service deserves raise gave extra meal voucher good joke cheer flight delay ftw
2617,0,,United,thank nice evening
2618,1,longlines,United,wait lose flight frustrating
2619,1,Flight Booking Problems,United,certainly not
2620,0,,United,available online not figure guarantee flight
2621,1,Flight Booking Problems,United,trying book flight w miles hold 50m gave need get 6 flight using two diff pay 4 1tix
2622,0,,United,no thanks took care called
2623,1,Customer Service Issue,United,tweet u choose answer tell not liable youretheworst neveragain
2624,1,Late Flight,United,not reason houston not nyc tonight took plane hour take no explanations sorry
2625,0,,United,awesome thank much help
2626,0,,United,need follow dm give info
2627,1,Can't Tell,United,airlines agents arguing check bag announcement looked room seat 20 gave walked back seat 7 unnecessary
2628,0,,United,yea saw moving china 5 6 bags pay whatever wanted make sure ok bring many
2629,1,Cancelled Flight,United,change name united incompetence no flight monday take 7 hour drive get flight
2630,1,Customer Service Issue,United,not even mentioning rude customer service us business owner would mortified employees acted
2631,0,,United,kept watching safety video first time forever nice job
2632,1,Customer Service Issue,United,united time respond everyone else complaints not mine lost customer
2633,0,,United,united thanks lea chicago office help switching cancelled flighted flights
2634,1,Can't Tell,United,likely makes sound like no idea not want flights please use facts thanks
2635,1,Late Flight,United,tell something not know not keepingit100 weaktea
2636,1,Customer Service Issue,United,wait time baggage question 60 minutes crazy limit amount bags bring internationally
2637,1,Can't Tell,United,leigh emery not like hear anything help thanks ey another empty offer help
2638,1,Customer Service Issue,United,try upgrade seats first class wait time phone 40 minutes help
2639,1,Flight Booking Problems,United,ua7985 coshared flight w ana unable check 24 hrs prior
2640,1,Customer Service Issue,United,never flying guys ever customer service piss poor best
2641,1,Late Flight,United,2 hour flight turns 3 30 ordeal sigh
2642,1,Lost Luggage,United,luggages group 20 luggages lost
2643,1,Flight Attendant Complaints,United,assistance attitude staff no matter airport
2644,0,,United,sure follow sec
2645,0,,United,thank much help birthday trip tickets confirmed
2646,0,,United,airlines flight ua 1669 need make ua 3781 u hold plane us
2647,0,,United,thank
2648,1,Damaged Luggage,United,hear guitar damaged december use guitar earn living get act together
2649,1,Customer Service Issue,United,hold 20 minutes talking one employees asked name id hung face
2650,1,Customer Service Issue,United,hope received no help far hold hour someone speak
2651,1,Flight Booking Problems,United,tried flight options per weblink non available next 2 days frustrating notgoodenough poorservice
2652,1,Customer Service Issue,United,asked dm ignore please assist changing another flight today 21 feb fra mco avoiding iad
2653,1,Customer Service Issue,United,stay business poor service poorservice notgoodenough http co vo61lme5ja
2654,0,,United,airline refuse canadian passport less 6 months remaining validity going us
2655,0,,United,time arrive airport 6 15 domestic flight san diego
2656,0,,United,united 767 taxing ord fly2ohare airlinegeeks avgeek http co upocmmulun
2657,1,Customer Service Issue,United,sent dm existing reservation no one responded
2658,0,,United,going service desk see options
2659,1,Can't Tell,United,miss continental days
2660,1,Damaged Luggage,United,next time bag underweight guys credit 200 take business airline cares
2661,1,Bad Flight,United,not full plenty time go gate check plus status gotten
2662,1,Flight Attendant Complaints,United,staff refuse let earlier flight citing checked bag
2663,1,Can't Tell,United,thanks nothing next time bring whole extra suitcase 1 extra pound makes sense right
2664,1,Cancelled Flight,United,first lost bags cancelled flight flight home 30 min wait talk somebody poorservice notgoodenough
2665,0,,United,great landing denver next rapid city snow starting fall florida everglades faint sunburn away comes cold
2666,0,,United,looking forward flying guys well
2667,1,Late Flight,United,flight 3367 arrive early delayed due no gate available 20 min late flight tarmac
2668,1,Bad Flight,United,flight landed 50 min told stay plane not pulled gate amp little no information
2669,0,,United,love hate relationship days good others terribly awful saddening
2670,1,Customer Service Issue,United,better customer service john wayne airport
2671,0,,United,bag finally delivered intact thanks assistance
2672,1,Flight Attendant Complaints,United,passengers seated crew ready wheresthepilot flt1088 ord hope not bar
2673,1,Customer Service Issue,United,booked 11 tix 1 month ago 157 cheaper customer service useless
2674,1,Late Flight,United,ua938 still taking 9 05pm stuck tarmac ua3462 waiting get
2675,1,Bad Flight,United,right good caught mechanical failure bad no blankets ok
2676,1,Late Flight,United,sitting ua1088 getting delayed operations not find captain ridiculous united
2677,1,Can't Tell,United,truly worst day flying ever experienced
2678,0,,United,guys made day treated well thank
2679,1,Late Flight,United,stuck houston not seem get plane destination time perfect flying conditions
2680,1,Customer Service Issue,United,phone customer service team bad think time consider switching airlines
2681,1,Customer Service Issue,United,much longer united phone hour straighten star alliance upgrade http co u1vieuidf5
2682,0,,United,verify wheelchair assistance requested next flight
2683,0,,United,left dildo plane way get back
2684,0,,United,not know last name karen call center terrific friendly helpful terrific representative kudos
2685,1,Can't Tell,United,cancelled flighting mileageplus card never business clearly not care customers
2686,0,,United,thank good service safe flight 1 2 way home
2687,1,Customer Service Issue,United,even ask dm offer help not anything terriblecustomerservice unitedairlines http co fec4i3vwq7
2688,1,Customer Service Issue,United,yes appreciated misinformation damages credibility may want someone observe newark fwiw
2689,1,Can't Tell,United,guys suck
2690,1,Flight Attendant Complaints,United,never fails flying fc order ravioli get chicken tell fa says told people wanted chicken idiot
2691,1,Lost Luggage,United,second time flying houston 45 mins waiting luggage baggage typical still waiting
2692,0,,United,flights went great improved view airline cheers flight attendents ua1022 deserve raise
2693,1,Customer Service Issue,United,horrible service attitude asked information make not want fly united ever platinummember
2694,1,Customer Service Issue,United,rep hung 35 mins hold asked supervisor furious right
2695,0,,United,question interview process one interview last person good bad
2696,1,Late Flight,United,thank 7 hrs terminal dulles airport http co ig2dgctt2m
2697,1,Can't Tell,United,go bankrupt transfer assets luv would great
2698,0,,United,landing chicago saw already airborne
2699,1,Flight Booking Problems,United,marcus helped good agent could not fix flight listed website unavailable book false advertising much
2700,0,,United,may not hit new status year flown several times year tried book every time
2701,1,Flight Attendant Complaints,United,unsmiling rep told us hotel shuttle comes like every 15 minutes breezy 30 min late flightr taking cab going reimburse
2702,1,Late Flight,United,someone misses connecting flight airline last flight day fix
2703,1,Customer Service Issue,United,yes needed plenty assistance received none
2704,1,Late Flight,United,not tonight got hotel 14hrs traveling still not reaching destination disappointed thanks
2705,1,Customer Service Issue,United,thank reply emailed customer care department experience
2706,1,Customer Service Issue,United,file claim agents not let speak supervisor claim number expired find bag
2707,0,,United,done something make tweet
2708,1,Can't Tell,United,one interview last person mean
2709,1,Late Flight,United,flown 10 times last 13 days 8 10 flights delayed huge mistake part not fly united
2710,0,,United,received notification flight wi fi ua863 flysfo sydneyairport amazing
2711,1,Customer Service Issue,United,yes taking two days get bag delivered missed full day skiing
2712,0,,United,give recognition deserves
2713,0,,United,type person make customers day fly 100 times year amp one top flight attendants
2714,1,Bad Flight,United,made remove 1 pound checked bag otherwise would charge 200 loyal flier 10 years time change
2715,1,Late Flight,United,sitting plane 3 15 unreal 2 day nightmare end
2716,0,,United,suck best
2717,1,Late Flight,United,united let us gate ua1157
2718,1,Late Flight,United,amp top no free tv int l leg sitting tarmac houston 70 min past departure w another hr plus go
2719,1,Bad Flight,United,dtv doesnt work pilots late flight wont let 10yr old fly next 2 paid 4 upgrade unitedsucks
2720,1,Customer Service Issue,United,loyalty team basically flipped via phone thanks maybe google loyalty get back lol
2721,1,Bad Flight,United,hey job not give safety spin plane broke original flight unitedsucks
2722,0,,United,thank
2723,1,Customer Service Issue,United,mean beyond opaque maintenance issues yes would basic customer service ewr staff not manage
2724,1,Flight Booking Problems,United,dear ted not care nor mileage plus card pay lot bye bye united
2725,0,,United,terminal 1 gate b3 flt 1299 take terminal 5 gate m13 swiss air lx009
2726,1,Customer Service Issue,United,sad not think important resolve client facing team behaves disgraceful
2727,1,Can't Tell,United,help girlfriend amy lloyd going miss flt zurich bc fault needs golf cart meet ord 1
2728,1,Flight Attendant Complaints,United,epicfail former gate agent pia walked away quit luckily responsible pia agent saved day
2729,1,Late Flight,United,problem told aircraft way
2730,1,Late Flight,United,thx sitting plane 2 5 hrs refuel not even make stuff
2731,1,Can't Tell,United,know use twitter bro terminal looks like bosnia another pic http co m9nywr5kbs
2732,1,Late Flight,United,far worst airline 4 plane delays 1 round trip flight possible
2733,1,Lost Luggage,United,took care rent car drive 3 hours retrieve belongings due united errors
2734,1,Late Flight,United,probably miss next connection
2735,0,,United,chance ever cpus jfk lax like
2736,1,Late Flight,United,may think joking blowing proportion last 8 united flights delayed significantly late flight
2737,1,Late Flight,United,not case delayed due mechanical issues no update departure time cancelled flight goddamn flight go delta
2738,1,Late Flight,United,2 days 3 planes mechanical issues 1 5 hrs late flight sitting plane insane
2739,1,Customer Service Issue,United,not get message resend numbers
2740,0,,United,yes filled form last year not case number handy guess not cut historical society afterall
2741,1,Bad Flight,United,united idiot designed seats armrest tv remote amp resting elbows not mix seatmate keeps changing channels amp blasting volume
2742,1,longlines,United,bump group 3 not forced check bag wait 30 minutes lga
2743,1,Can't Tell,United,listen learn amp remove pqd requirement insulting ha
2744,0,,United,thank reply fill form submit requested good know paying attention
2745,0,,United,gate agent alavera amazing
2746,1,Can't Tell,United,need better airline lol
2747,1,Flight Attendant Complaints,United,agents forced check carry bag received bag found crew stolen u lost business
2748,0,,United,wins top marks customer service via twitter turned poor experience positive many thanks effort
2749,1,Lost Luggage,United,really charge 25 check bag put different flight still not bag
2750,1,Customer Service Issue,United,not released travel advisory iad tomorrow
2751,1,Bad Flight,United,cross country flight sfo gt bos no wifi not even soda quality inflight entertainment sad http co xhlc30mtff
2752,1,Late Flight,United,really getting horrible much tucking kids tonight delta transfers miles status right http co h6hn33jjje
2753,0,,United,interview long take hear back
2754,1,Customer Service Issue,United,think problem resolution decided end especially would like continue flying airline
2755,1,Can't Tell,United,roundtrip london delta think fyi another 1k lost moneynotspentonunited unfriendlyskies
2756,1,Can't Tell,United,already flight booking problems next week trip thanks making choice easy disunited unfriendlyskies servicefail
2757,0,,United,united flight experiences r often frustrating 2day ua5184 chi wpg flight attendant april amazing 1 best
2758,1,Can't Tell,United,also group 5 total bs
2759,1,Late Flight,United,not ask patient without offering something return
2760,1,Late Flight,United,like clockwork friday afternoon flights las den running late flight seem happen consistently keepit100
2761,1,Bad Flight,United,delta getting business unfriendlyskies unbelievable
2762,0,,United,free booze bach party would make better ord gt msy delayed enjoy either way thanks
2763,0,,United,2 2 name boarding pass think might really need ideas
2764,0,,United,sitting seat 10d flight back vegas chicago someone left folder looks important seat pocket 1 2
2765,1,Customer Service Issue,United,incompetent rude service today missed connecting flight customer service desk terrible really upset w untd
2766,1,Bad Flight,United,terrible experience ua415 17th 1st exit row economy zero legroom row booked return not change
2767,1,Late Flight,United,5 5 hours late flightr transit total twelve hours please change plane flight 600 ridiculous sfo
2768,0,,United,good man not fault plane maintenance issues
2769,1,Late Flight,United,delay flight ua4636 painful sure hope not cause luggage miss ua82 flight new delhi
2770,1,Can't Tell,United,yes unbelievable free fare lock
2771,0,,United,battierccipuppy puppy cute look forward board thanks high five ey
2772,1,Late Flight,United,worst airline beware not maintain plain runway past 4 hours
2773,1,Can't Tell,United,free like airlines not 1997 anymore
2774,1,Late Flight,United,existing reservation fine talking no longer 0600 cmh ord option 0638 gets late flight
2775,0,,United,please tell going make connecting flight hare stl southbendinwhere http co qgwk10dewv
2776,0,,United,lindsay darn terrible memory part know headed back iad pit tonight
2777,1,Customer Service Issue,United,know sure hear time like new seats small guy 5 6 feel new planes tight
2778,1,Late Flight,United,2 5 hrs ord another 5 tarmac refuse move earlier flight make iflyalot bs
2779,0,,United,ok thanks clarification
2780,0,,United,coming back iflyoakland huge east bay customer base due sfo miss
2781,1,Can't Tell,United,also not help frequent flier united premiere gold apparently means nothing
2782,1,Late Flight,United,delayed another hour
2783,0,,United,million mile flier embarrassed ask long ago launched
2784,1,Flight Booking Problems,United,ca not beat storm town wait issue policy late flight nws issued storm warning already
2785,1,Can't Tell,United,united skywest miss one probably aspen events fail
2786,1,Lost Luggage,United,not need apologies need bag took 56 minutes landing get unacceptable
2787,1,Bad Flight,United,add wifi entertainment old seats come back
2788,1,Late Flight,United,fly sfo honululu gets pushed back 3 5 hours looks like delays beg plz sort soon
2789,0,,United,thanks catch conection
2790,1,Bad Flight,United,united super lame charge 8 tv international flight us 1997
2791,1,Late Flight,United,volunteers give seats people sit 25 minutes plane waiting 4 add people letsgo
2792,1,Can't Tell,United,4016 529557 going transfer car airport could not get
2793,1,Lost Luggage,United,next time not volunteer let gate check bag space since obviously not deliver timely manner
2794,1,Lost Luggage,United,sorry cold chicago not see means takes 45 minutes priority bag show carousel
2795,0,,United,long take customer feedback respond complaint
2796,1,Can't Tell,United,making miss big snow montana not cool
2797,1,Flight Booking Problems,United,might airline not offering waivers keep good fight
2798,0,,United,frontier http co n8winfu6c5
2799,0,,United,thank help appreciated
2800,0,,United,fyi went similar flight last week
2801,1,Customer Service Issue,United,know check complaint ticket said dinner booked changed refreshments refund
2802,1,Lost Luggage,United,bag mia since wednesday still no word ever see lostluggage frustrated
2803,0,,United,assume benefits apply reservation way partner diff res use combine res
2804,0,,United,us air http co eis9hcnpro
2805,1,Can't Tell,United,not american airlines suppose http co 0ewj7oklji
2806,1,Bad Flight,United,love report horrible flight team let make worse get seat snacks
2807,0,,United,uhuh group trying get nashville iad today instead tomorrow preemptive though https co ybv0xaowkv
2808,0,,United,thanks moving dad mom flight helped make birthday start friendlyfriday awesomeness 4 paws
2809,1,Cancelled Flight,United,united need get together 3 4 flights cancelled flightled stranded no car baggage lost never get right
2810,0,,United,blood services make appt today 18009174929 http co 6uxwpadugs
2811,1,Customer Service Issue,United,worth saying litter singapore get caned rules says
2812,0,,United,not waiving change fees snow storm coming tomorrow iad winter storm warning tomorrow already
2813,0,,United,yes sending email customer service today
2814,1,Customer Service Issue,United,fully aware rules harsh toward client especially since going resell seat
2815,1,Damaged Luggage,United,not check carry watched handler throw bag miss conveyer belt sat 10 min http co lyoocx5msh
2816,1,Customer Service Issue,United,waste time airline get automated message disappointing always
2817,1,Customer Service Issue,United,means within one week filed 2 compensation complaints website
2818,1,Can't Tell,United,not 100 sure however ticket included one checked bag therefore charge extra completely unanticipated
2819,0,,United,goodspeed follow maintenance team thanks tweet kp thank united cares
2820,1,Customer Service Issue,United,terribly disappointed confirmed reservation delayed cust service staff not helpful finding alternate solution
2821,0,,United,check luggage employee told not include wheels dimensions
2822,0,,United,dmangen visualclubconcepts com
2823,0,,United,ticket refunded purchased brother fly could used refunded credit fly respond
2824,1,Late Flight,United,besides fact one week ago delayed 18 hours not impressed
2825,1,Customer Service Issue,United,one checked bag checked edinburgh however charged randomly dc newark
2826,1,Customer Service Issue,United,purchase ticket entitled check 1 bag however charged extra 25 dollars domestic transport
2827,1,Bad Flight,United,thank u 1hr delay boarding us onto plane reeks vomit flight attendant indicated not cleaned properly
2828,1,Can't Tell,United,united never grossed life disappointment yet flying
2829,0,,United,need add service dog itinerary tomorrow
2830,1,Late Flight,United,thanks delaying flight hour boarding us onto flight reeks vomit not cleaned properly
2831,1,Bad Flight,United,landed might want check flight 304 plane houston sound takeoff amp landing http co qkquraggoo
2832,1,Can't Tell,United,not even look right call not mad
2833,0,,United,dm ed u request num
2834,1,Customer Service Issue,United,requested online refund option denied saying ticket used hope understand problem approach
2835,1,Late Flight,United,nope still sitting gate
2836,0,,United,bagage take cabin dont need check correct
2837,0,,United,exactly
2838,1,Late Flight,United,passengers waited inside flight runway returned back gate not count valid journey
2839,1,Cancelled Flight,United,yes partly used del ewr used return flight cancelled flightled due technical glitch operations
2840,0,,United,thank appreciate response
2841,0,,United,old school ride home lax houston flyingretro http co 6asuwx3kv0
2842,1,Late Flight,United,appreciate looking compensate anything troubles still not taken 10 30 flight
2843,0,,United,mine gjqx6j husband a587cw ca not dm reason
2844,0,,United,thank thank thank contacting thank offer 1000 travel certificate unitedairlines
2845,1,Customer Service Issue,United,another terrible experience united discrimination delays no help customer service united notimpressed
2846,0,,United,hi flying iad tomorrow evening expect delays cancelled flightlations snow storm
2847,1,Can't Tell,United,business decision made inconveniences possibly causes lost customers good business decision cranky
2848,0,,United,sent dm thanks incredibly happy fast response got via twitter via customer care thank
2849,1,Late Flight,United,please provide update ua 791 flight stranded united no information crew plane
2850,1,Can't Tell,United,thanks reminding much easier fly southwest get agents sfo 25
2851,0,,United,perfect works thank
2852,1,Flight Booking Problems,United,still one day visa expiring june 9 booked flight day
2853,0,,United,followback dm plz
2854,1,Flight Attendant Complaints,United,mia ewr 384 excellent crew ewr iad 3589 no crew load bags waiting w door open freezing 20 mins past departure
2855,1,Customer Service Issue,United,customer service crap
2856,1,Flight Attendant Complaints,United,thanks ground crews surprised flights arrive beingsuckontarmacsucks
2857,0,,United,mechanical issue looks like got fixed thanks concern
2858,1,Cancelled Flight,United,ua1023 sitting tarmac ord visibly gates open reassign gate
2859,0,,United,thanks
2860,1,Flight Attendant Complaints,United,usually issue express sfo positive note mainline p enjoyable
2861,1,Customer Service Issue,United,no sato rebooked upset travel office fix could not
2862,1,Can't Tell,United,kind unnerving watch guy deicing plane text phone whole time http co qdxft9qqt9
2863,1,Flight Booking Problems,United,refreshes browser right checkout error load message ticket price increased 358 matter sec dounotwantmybusiness
2864,1,Can't Tell,United,jedediahbila united voted every year one worst airlines enjoy title give jedediah free passes
2865,1,longlines,United,think board back plane whatstheholdup chitocle
2866,0,,United,plane thanks maybe not let many people check teeming morons
2867,1,Bad Flight,United,thanks seat made 6 year old broken tv 20 flights year last airline
2868,0,,United,ua6357 needs de icing stat waited turn
2869,0,,United,yes boarded way many times amp never show pass tarmac multiple times path railed 1 way
2870,1,Cancelled Flight,United,bobwesson fair enough united everybody best although slight delay turning cancelled flightlation
2871,1,Lost Luggage,United,still waiting bag never got delivered yesterday ca not reach real person help sending dm ref number
2872,1,Bad Flight,United,worst flight experience ever never ever fly airline
2873,1,Customer Service Issue,United,go thru details flight want w recording repeat real person gets line
2874,0,,United,looks like came thanks help
2875,0,,United,anything yet jj
2876,1,Customer Service Issue,United,would person take hours hours wait time tell lie
2877,1,Customer Service Issue,United,hey dm not working ua 307
2878,1,Customer Service Issue,United,refund team far customer care courtesy need training work ethics like sir u r lying help
2879,1,Flight Booking Problems,United,splitting flights quadruples price
2880,1,Customer Service Issue,United,contd told asking refund used ticket flight got cancelled flightled ticket used
2881,1,Customer Service Issue,United,several trials several hours waiting phone contact customer care get refund get cold shoulder
2882,1,Late Flight,United,booked paid flight get denver specific time meeting failed not caused weather
2883,0,,United,since get good 4 transcontinental flights 72h pleasure relief
2884,1,Cancelled Flight,United,not understand not flight paid premium getting cancelled flighted best next available flight
2885,1,Bad Flight,United,flight awful one lavatory functioning people lining bumping etc not use 1st class bathroom ridiculous
2886,0,,United,current board food menus available anywhere online
2887,0,,United,united airlines changing mileageplus program winners losers http co f1yvaio9ul http co vglx6ykwqg
2888,1,Late Flight,United,actually not still parked
2889,0,,United,put sun carry rt ant kneee right 0 would heat wave enjoy warmth bring home jj
2890,0,,United,thanks
2891,0,,United,thanks prompt response another hour enjoy vacation perhaps bug app still shows 2 55
2892,1,Flight Booking Problems,United,apply one travel certificate per itinerary even multiple flights
2893,0,,United,appreciate sentiment able get ground still missed connection
2894,1,Flight Booking Problems,United,log view reservations try view specific reservation amp takes back login page
2895,0,,United,goes round amp round going weeks
2896,0,,United,thank prompt assistance
2897,1,Lost Luggage,United,3 times flight delayed miss next flight time lost baggage no clean clothes 337 flight thx
2898,0,,United,looked email chain not one
2899,1,Flight Booking Problems,United,hell miles expire really looking forward accruing enough free flight 10 years
2900,0,,United,thanks timely updates
2901,0,,United,also want naming rights first child fly home visit mother avoid winter depression
2902,1,Lost Luggage,United,familiar procedure would not first time unitedairlines lost one bags unhappytraveler
2903,1,Can't Tell,United,get giving inaccurate misleading info not seem like great way hopethegearmakesitintact
2904,1,Late Flight,United,cleaning regional jet takes hour
2905,0,,United,baggage check flight crew friendliest ever flight 417 ogg lax
2906,0,,United,thanks means 30 minutes make international connection hkg
2907,0,,United,jedediahbila kp not traveling trying cheer ms bila
2908,1,Customer Service Issue,United,tried charge 750 539 flight tried make change phone not including 200 change fee wtf
2909,0,,United,thank offer sorted
2910,0,,United,workin waiting reply
2911,1,Late Flight,United,flight 395 rolling delay 1 hour 42 minutes
2912,1,Late Flight,United,believe customer service last post narita tokyo sent motel rest said standby maybe 2days
2913,0,,United,think best first class ever gotten denver lax wonderful
2914,0,,United,course not inflight crew great
2915,0,,United,well played lo
2916,0,,United,pilot ua475 landed plane like gently placing us pile whipped cream smoothest landing ever
2917,1,Customer Service Issue,United,website complete joke using safari
2918,1,Bad Flight,United,new seats canadaair regional jets plain suck
2919,0,,United,another country please cancelled flight reservation booked swiss air
2920,1,Damaged Luggage,United,airlines abuse expensive video equipment overcharge privilege http co sdylukr7pt via robthecameraman
2921,0,,United,found flight airfarewatchdog
2922,1,Late Flight,United,reply lol hoping least new plane maintained flight
2923,1,Can't Tell,United,somebody say flight upgrade
2924,0,,United,dm sent
2925,1,Late Flight,United,tripitpro accurate delayed dept times 2hours late flightr hear curious
2926,1,Can't Tell,United,tell airline lost mine families business day age message twitter travels fast
2927,1,Customer Service Issue,United,trying reach number last standbye gave 1 meal voucher potential 2 day standbye
2928,1,Customer Service Issue,United,disappointing customer service
2929,1,Late Flight,United,boarded 6373 time deplaned 100 minutes delay no transparency ca not wait give gold status aa
2930,1,Customer Service Issue,United,44stocker wife sarah stocker also called could not connect customer service
2931,1,Customer Service Issue,United,victim scam shit customer service time agent hung wtf teach staff
2932,1,Flight Attendant Complaints,United,flight 1219 frustration boiled dealing attendant attitude ridiculous
2933,1,Late Flight,United,nice know 3 hours time worth 7 99 free directtv everyone ever hear preventative maintenance
2934,1,Customer Service Issue,United,may true however 4 weeks matter still unresolved not get supervisor manager help
2935,1,Late Flight,United,obviously no one knows darn thing around not get resolved http co ph8qjzapkx
2936,0,,United,going forward not flight booking problems star alliance flights united app
2937,1,Flight Attendant Complaints,United,notifications yet staff board say not accurate no departure time
2938,1,Bad Flight,United,not know seats actually narrower seats feel like maybe extra bloated
2939,1,Customer Service Issue,United,dm sent lack customer service getting ridiculous
2940,1,Late Flight,United,delayed going home getting really tired delays
2941,0,,United,big thanks mn kn patiently clarifying united domestic world
2942,1,Flight Booking Problems,United,uh booked ua website price change
2943,1,Cancelled Flight,United,rebooked getting home 4 hours late flightr planned chances ever see bag unhappytraveler
2944,1,Flight Booking Problems,United,united club team amp got seat late flightr still not sure last min ual cancelled flightlation costs yet overbooked folks get
2945,1,Late Flight,United,flight 5559 yyc providing free food allowed back board broken lightbulb
2946,1,Customer Service Issue,United,not looking fare returned companion flight not understand additional 200 fee necessary
2947,0,,United,thank much helps ton whoever twitter acct today deserves handshake hot chocolate flight problemsolvers
2948,0,,United,left headphones 2a ua4689 yhz ewr long shot see worth tweet anyway
2949,0,,United,129 thousand fans jedediahbila asking give utmost effort get safe flight baggage soon
2950,0,,United,not wait 787 tpallini http co odlall5edh
2951,1,Can't Tell,United,flight 5187 specific last two probably 30 feet apart within sight
2952,0,,United,love told would issue refund could not get us way hurricane denied
2953,1,Lost Luggage,United,without baggage 5 days not get update houston airport since monday worst service ever
2954,1,Can't Tell,United,yes three different checkers along walk plane overkill
2955,1,Flight Booking Problems,United,bummer might go card instead ty response though
2956,0,,United,lruns4cupcakes please dm details would like help need assistance kp clarkhoward another airlines issues
2957,1,Can't Tell,United,sure business go else airline travel name kathryn sotelo
2958,0,,United,please arrange someone arriving gate flight 5957 chicago either refund first class upgrade
2959,1,Lost Luggage,United,made check carry flight 1449 pbi newark plane luggage stow not full u r costing time money amp aggravation
2960,1,Customer Service Issue,United,no way contact flight not work father pass heading denver
2961,1,Can't Tell,United,two flights today let hope kit not get treatment http co pd3nbaakxh
2962,0,,United,thnx
2963,1,Customer Service Issue,United,please help regarding pnr a3zz0f waitlisted flight
2964,0,,United,emailed jim compton jeff smisek hopefully pay attention
2965,1,Can't Tell,United,hope solution insurance cover issue
2966,1,Customer Service Issue,United,customer service no solution might miss show
2967,1,Late Flight,United,deserves go bankrupt delayed outbound flight no info connecting flight going miss
2968,1,Late Flight,United,flt 3444 delayed maintenance fixed not board flight crew not stay boarding area fail
2969,1,longlines,United,not anymore finally ticketed 5 min takeoff not sure confusion full fare gsa ticket
2970,0,,United,miles earned explorer card count toward lifetime miles
2971,1,Lost Luggage,United,yes still not know told might flight no one confirm
2972,0,,United,something missing checked baggage
2973,1,Lost Luggage,United,united wind chill ithica 17 degrees trouble losing clothes give shirt burn warmth united
2974,0,,United,aw thanks kind words totally makes extra 6 hours sitting airport soooo much better
2975,0,,United,frontier currently offering weather exceptions weekend united
2976,1,Late Flight,United,calling customer service 2 delayed flights today luggage misplaced disaster across board
2977,1,Late Flight,United,crew notified passenger moved water not fixed tarmac two hours
2978,1,Customer Service Issue,United,link not helpful not put touch management
2979,0,,United,u might imagine former pilot particularly touched gesture please let fo know keepingtraditionsalive
